,logFC,t,P.Value,adj.P.Val,B,sig
SESN1,0.11384650929428,2.03382615853584,0.0443991979963766,0.076723098743829,-4.71789987665889,Not
TMEM184C,0.0931482029250894,2.03374344840313,0.044407687064298,0.0767238939769357,-4.71806108903254,Not
NFIX,-0.104572657390538,-2.03337175081328,0.0444458538992699,0.0767759544218046,-4.71878549910471,Not
RAPGEF6,0.171087148940897,2.03317420244753,0.0444661500752723,0.0767924135954167,-4.71917045581678,Not
HERC6,0.358799487800789,2.03312258811766,0.0444714542525153,0.0767924135954167,-4.7192710294435,Not
SH3BP5,0.133814415773923,2.03285700249433,0.0444987558749271,0.0768256750028552,-4.71978850163144,Not
CCPG1,-0.131842549984672,-2.03223691889719,0.044562554933139,0.0769219246642118,-4.72099644089419,Not
ATMIN,-0.104987139743209,-2.03182806696783,0.0446046636074433,0.0769807053337056,-4.72179270861882,Not
ANO3,0.175339157371642,2.0281978552818,0.0449800428796798,0.0776145340841856,-4.72885629277232,Not
CDC7,-0.131711855917842,-2.02781974808567,0.0450192956149834,0.0776682413606754,-4.72959133254937,Not
RNF114,-0.101212475636638,-2.02712543057387,0.0450914515951323,0.077778684376008,-4.7309407541162,Not
TRABD,0.0837627309748443,2.02613012310496,0.045195059947606,0.0779433302399067,-4.73287440976287,Not
RPS16,0.113116008849563,2.02567488323546,0.0452425167481258,0.0780110952806008,-4.7337585439158,Not
AP2M1,0.193098518896113,2.02509786190417,0.0453027299371347,0.0781008275805988,-4.7348789287876,Not
CDKN2A,-0.0819564035693574,-2.02356442677294,0.0454630795000287,0.0783631290949269,-4.73785491627499,Not
TRA2B,0.0851066863821508,2.02332790702912,0.0454878552154615,0.0783916942180252,-4.73831375192322,Not
DUSP3,-0.108746420137962,-2.0231079810311,0.0455109030660787,0.0784172718534886,-4.73874035200692,Not
FZD8,-0.122311498296478,-2.02254312025095,0.0455701451891435,0.0785051933346773,-4.73983584028779,Not
DCAF11,-0.117967405946937,-2.02221444117687,0.0456046470841176,0.0785372752820059,-4.74047314845227,Not
RAB8A,0.135604698401348,2.02220912643443,0.0456052051632326,0.0785372752820059,-4.74048345294031,Not
USP21,-0.127113026615174,-2.02190321423998,0.0456373375708042,0.0785784500588477,-4.74107652848672,Not
PFN1,0.339205452047208,2.0216996363072,0.0456587317070652,0.0786011241564969,-4.74147116132944,Not
SART3,0.0871457229660226,2.02091542231681,0.0457412253434165,0.0787289534188919,-4.74299100454511,Not
UTP18,0.148789583295281,2.02077444975065,0.0457560681282211,0.0787403182123683,-4.74326415799738,Not
CLU,0.362798385168894,2.02004629089587,0.0458328003719392,0.078858163549559,-4.74467478328959,Not
PLXNA1,-0.121012726312941,-2.0174758342829,0.0461045503742812,0.0793114461524088,-4.74965063122539,Not
DCUN1D2,-0.163566021853248,-2.01721417809805,0.0461322897871369,0.0793364390492801,-4.75015681167649,Not
FANCA,-0.0858242385567989,-2.01718217534622,0.0461356835283434,0.0793364390492801,-4.75021871762554,Not
HCG9,-0.0875013874378689,-2.01702473490677,0.0461523824496714,0.0793508756187585,-4.75052325629891,Not
REG1A,0.14607149626803,2.01647787497174,0.0462104252469688,0.0794363777046292,-4.75158088194917,Not
RBMS2,0.0710283599879036,2.01495639114575,0.0463722409533105,0.0797002040557257,-4.75452202876096,Not
ELMO3,-0.183081404680295,-2.01447384936039,0.046423662051935,0.0797742338730966,-4.75545438975049,Not
SKAP1,-0.194891109692374,-2.01402545999071,0.046471487377505,0.0798284180641171,-4.75632057630524,Not
RNF138,-0.2116497689835,-2.01402158010227,0.0464719013908208,0.0798284180641171,-4.75632807058946,Not
MRPL9,0.104355858086333,2.01379231653394,0.0464963711291109,0.0798560967846485,-4.75677088593444,Not
NLK,-0.194392665254304,-2.01323627293836,0.0465557643997586,0.0799437348794418,-4.75784467243345,Not
