,logFC,t,P.Value,adj.P.Val,B,sig
ALDH1L1,-1.08662135676658,-4.87461698535544,0.00000373189772207276,0.0000282807411832889,3.94339771442084,Down
AZGP1,-1.42640168075283,-4.85550246412307,0.00000404008243218904,0.0000301617404078113,3.86759013771531,Down
MGAM,-1.13745580873374,-4.71422863548752,0.00000722183199312944,0.0000481661324046442,3.31326555816009,Down
SLC7A9,-1.24877789989567,-4.71295044128626,0.00000725955240249906,0.0000483430541869554,3.30829886615302,Down
DPEP1,-1.05198343711898,-4.67765622206836,0.00000837991179052916,0.0000541070520745247,3.17150564933443,Down
ACE2,-1.0975987735966,-4.66772467645915,0.0000087242614870819,0.0000559148509527529,3.13313523561922,Down
LTF,1.21139793066496,4.66611302748943,0.00000878141854419791,0.000056205784064538,3.1269137313438,Up
ISG15,1.0375245126404,4.6516535260378,0.00000931071345530655,0.0000586507434270992,3.07115885423186,Up
CALB1,-2.04338411875419,-4.57477288564271,0.0000126864642920435,0.0000753929432678904,2.77665049028875,Down
PLG,-1.4313926977569,-4.55928178838168,0.0000134974150056674,0.0000792755364438583,2.71770694228227,Down
DEFB1,-1.48075421282454,-4.39245024823155,0.0000260935971335117,0.000134784007679913,2.09157007360485,Down
VSIG4,1.08703531332832,4.35409067570415,0.0000302992250233581,0.000152710651014351,1.94988315765636,Up
CXCL14,-1.15812170381025,-4.31189517622653,0.0000356788380489752,0.000174576024780342,1.79503230830755,Down
SLC17A3,-1.13422845771471,-4.31062978791618,0.0000358535887783832,0.000175341297014447,1.79040489237813,Down
DIO1,-1.27575073794094,-4.23046409174326,0.0000487715834835164,0.000226793796481014,1.49920678284263,Down
C3,1.27446710044702,4.20616951948012,0.0000534999756155317,0.000245555123430365,1.41172652289063,Up
CUBN,-1.08043216093201,-4.19535014921182,0.000055744667708825,0.000254270188365409,1.37288406333059,Down
RBP4,-1.24646270096128,-4.11478455481159,0.0000755441260364053,0.000330237725710837,1.08591648894876,Down
HSD11B2,-1.30816020835621,-4.1036749097852,0.0000787543343608758,0.000342703287410077,1.0466613402815,Down
SERPINA5,-1.20277711052847,-4.07854853288635,0.0000865039518130176,0.000369361824631455,0.958164424956648,Down
KLK1,-1.00004674010056,-4.06837535266186,0.0000898449760038841,0.000380904432428179,0.922446693472081,Down
CLDN8,-1.20988257252796,-3.98493959822928,0.000122312800151232,0.000495893558865156,0.631984403676952,Down
NNMT,1.08740381822648,3.91475759609362,0.00015804097691215,0.00061718004714855,0.391124021914076,Up
UMOD,-1.64765337094191,-3.75235451516266,0.000282693397799561,0.000998675826015751,-0.153826045008854,Down
SST,-1.00287446955684,-3.56578389846024,0.000540249736310061,0.00172720859156204,-0.757852689707761,Down
