sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils
GSM2642359,0.016891901,0.041733053,0,0.038010184,0,0.071503194,0,0,0.079287111,0,0,0.021980975,0.123835874,0.006935691,0.161867566,0.279182568,0.036633429,0,0,0.04235634,0,0.079782113
GSM2642360,0.051058305,0,0,0.043938184,0,0.013498425,0.016794968,0.010125501,0.059729567,0,0,0.062375606,0.159993348,0.144401235,0.118088439,0.12816505,0.016841749,0,0,0.163339565,0,0.011650057
GSM2810679,0.070753334,0,0.003122344,0.068928774,0,0.016233258,0.009842407,0.053205119,0.054636032,0,0,0.099160421,0.122890109,0.026592478,0.149752903,0.110784975,0.077393315,0,0,0.123183037,0,0.013521496
GSM2810680,0.039736546,0.000390694,0.004266757,0.094481377,0,0.229329385,0.014869729,0,0.084011091,0,0.043622298,0,0.057252258,0.037045916,0.140838053,0.155486751,0.000766999,0,0,0.051668481,0,0.046233664
GSM2810681,0.056346924,0,0,0.109356007,0,0.059847598,0.004476803,0.010429678,0.076215178,0,0.0160178,0.072617463,0.291480527,0.045354423,0.052049997,0.153110434,0.020393732,0,0,0.020428457,0,0.01187498
GSM2810682,0.03039267,0,0,0.107390554,0,0,0.047590519,0.001939272,0.008390413,0,0,0.108954445,0.419033401,0.053338804,0.090480339,0,0.013268711,0,0.087643343,0,0,0.031577529
GSM2810683,0.047884277,0,0,0.119517401,0,0.110396478,0,0.005499744,0.02716278,0,0.01876244,0.042875723,0.362864699,0.042991078,0.102740928,0,0.058473822,0,0,0.060830629,0,0
GSM2810684,0.080583522,0,0.090232999,0.064957276,0,0.158371513,0,0.094336553,0.026082013,0,0.00416783,0.05094943,0.193218728,0,0.092590011,0.115919929,0,0,0,0.028590195,0,0
GSM2810685,0.017535489,0,0.110713211,0.014542655,0,0.025826131,0,0.002057171,0.024773857,0.017646796,0,0.070399853,0.326189883,0.066835555,0.0193026,0.015051515,0.008383969,0.003505377,0,0.146968589,0,0.130267351
GSM2810686,0,0.040460651,0.032816859,0.022526352,0.066458699,0,0.028882402,0,0.024926217,0.00135022,0,0.050894128,0.199576192,0,0.031333292,0.274431587,0.048247562,0,0.178095839,0,0,0
GSM2810687,0.05887438,0,0.05342135,0.079473803,0,0.170731646,0.00102533,0.005591644,0.071653824,0.026376808,0,0.021468374,0.010015726,0,0.138133476,0.247161444,0.034468019,0,0,0.05079033,0,0.030813845
GSM2810688,0.016465178,0.027671572,0.032522069,0,0,0,0,0.070973871,0,0.029500696,0,0.064423702,0.26646297,0.023682892,0.048694348,0.26456474,0.028357493,0,0,0.031883732,0,0.094796737
GSM2810689,0.058192973,0,0.124040108,0.040038876,0,0.035070375,0,0.003172817,0.039257658,0,0.003371177,0.047143283,0.414748931,0.0188614,0.118875744,0.046602059,0.024941101,0,0,0.025683499,0,0
GSM2810690,0.017822857,0,0.040599876,0,0,0.176252325,0,0.032151179,0.013637502,0,0.032660978,0.048045708,0.2679969,0.054081648,0.134934965,0.07838679,0.025138344,0,0.033590131,0,0,0.044700797
GSM2810691,0.039405777,0,0,0,0,0.137298929,0,0.058180846,0,0,0,0.131791068,0.250801065,0.009194824,0.107165016,0.092239926,0.030748354,0,0,0.136986522,0,0.006187673
GSM2810692,0.009755312,0.092905217,0,0.02867321,0,0.11111076,0,0.000216188,0.003333797,0,0,0.060218023,0.092764127,0,0.032501953,0.374615392,0.012050346,0,0,0.1162694,0,0.065586275
GSM2810693,0.064423344,0,0.011412253,0.01801802,0,0.117054167,0,0.000723006,0.042874635,0,0,0.105350926,0.139397861,0.03937605,0.084103118,0.227800823,0.027451242,0,0,0.091654245,0,0.03036031
GSM2810694,0.06829031,0,0,0.037475301,0,0.072841127,0.013117715,0.00979257,0.032587289,0,0,0.074462574,0.201537988,0.020987007,0.149658987,0.047452125,0.033848462,0,0,0.23432684,0,0.003621705
GSM2810695,0.007903205,0.031322,0.022591912,0,0.02592974,0,0.00297093,0,0.017002105,0.030277407,0,0.0161001,0.180386754,0.08199072,0.016351431,0.408382392,0.054584877,0,0.014184086,7.26E-05,0,0.089949702
GSM2810696,0,0.026724522,0.015347013,0.085585768,0,0,0,0.011517745,0.030226981,0.056894717,0,0.043299204,0.328589282,0,0.030344437,0.248375693,0.033656412,0,0,0.085237197,0,0.004201028
GSM2810697,0.018009795,0.036887795,0,0.040323842,0,0.083095601,0.001827951,0,0.076462678,0,0,0.019986793,0.124253961,0,0.156664037,0.284897782,0.041943294,0,0,0.0389702,0,0.076676272
GSM2810698,0.047625172,0,0,0.043741237,0,0.021354514,0.018423716,0.011889431,0.051097094,0,0,0.067228353,0.165798017,0.118617728,0.125464693,0.126614102,0.037929083,0,0,0.152012624,0,0.012204238
GSM2810699,0.028960329,0,0.015528316,0.107972718,0,0.154733845,0,0.028902372,0.070722923,0.024203034,0,0.104409522,0.063837787,0,0.146761264,0.144238262,0.032307578,0,0,0.059310544,0,0.018111506
GSM2810700,0.086813692,0,0,0.043887005,0,0.178814956,0.007271164,0.023515636,0.070821999,0,0,0.072598957,0.034302093,0,0.112564866,0.259841553,0.053873649,0,0.041721566,0.007544177,0,0.006428686
GSM2810701,0,0.109420556,0.082300838,0,0.034680054,0.067066104,0,0,0,0,0.0680564,0.123664126,0.283177722,0.002945725,0.013217772,0.067165909,0,0.056231829,0.064585616,0,0,0.02748735
GSM2810702,0.042857367,0,0,0.065068521,0,0.073912028,0,0.016542731,0.063331603,0,0,0.051831988,0.205654921,0,0.156936645,0.140732169,0.035421992,0,0,0.147710034,0,0
GSM2810703,0.047987568,0.021413826,0.022193077,0.09063526,0,0.030624752,0,0.022695824,0.070529044,0,0,0.085622199,0.300979669,0.057553372,0.023540435,0.11602872,0.004001564,0.025563688,0,0.080631003,0,0
GSM2810704,0.035501143,0,0.010271369,0.029448491,0,0.030320121,0,0.009817205,0.081034379,0.018929035,0,0.053511208,0.225214688,0.10654315,0.04165393,0.20519592,0.011139211,0.016771913,0,0.110788896,0,0.01385934
GSM2810705,0.032614557,0,0.017461933,0.037303605,0,0.089232016,0,0.020169456,0.062770695,0,0,0.062880598,0.125607039,0.13560479,0.084607541,0.282560647,0.011875885,0,0.007037053,0,0,0.030274187
