outcome	KNG1	FN1	ALB	PLG	IGF1	EGF	HRG	TYROBP	CSF1R	ITGB2
IgAN	7.056141949	9.057296107	4.631564141	7.220598337	6.887551216	6.44569092	6.232657164	10.39828091	9.82120385	9.26367523
IgAN	6.916009508	9.504229401	7.023653783	7.07835853	7.440818612	6.354674638	6.284389638	9.225675171	9.303330719	8.585433948
IgAN	6.376551272	10.23017704	6.027878388	7.624405379	8.018612773	6.916050161	6.36011427	9.520912291	9.22665822	8.902312694
IgAN	9.736180825	8.491139418	9.635671706	10.37930828	8.559295031	8.371773684	7.905903357	8.835787257	8.435812144	8.170402466
IgAN	5.771157354	7.671605169	6.40180312	8.50741599	7.786409398	5.64234287	6.597297818	8.002596198	7.877390094	7.414120233
IgAN	9.738535518	8.280800466	8.518634784	10.86365271	8.550633289	9.092318528	8.485376378	7.74682242	7.820352144	6.940000825
IgAN	7.371836923	7.549649195	5.980819635	9.059918162	9.337741101	6.891961933	6.886514687	8.665940313	8.050188972	7.545561816
IgAN	7.161307913	8.130272004	7.134650649	10.46568554	8.805453876	6.727924044	7.95165758	9.059540676	8.725818122	7.7884696
IgAN	9.940717891	6.6882489	5.864936112	9.157986475	10.58280277	9.455278358	7.418024084	8.452740881	7.921790762	7.31303713
IgAN	7.116168502	8.431351111	8.605716465	9.983392609	9.340071968	6.561897996	7.160056618	9.222921878	8.759872169	7.862200202
IgAN	7.360056784	10.78505411	6.716801894	8.353174176	6.507147691	6.184672794	6.512394664	9.892445297	8.664910943	8.780629885
IgAN	7.503540627	7.525114808	8.072593726	9.422231235	7.847352047	6.978858126	7.161967838	8.523882027	8.035338245	8.021964268
IgAN	9.456281841	8.483706293	9.715860975	10.12049523	8.426837573	8.345110977	8.199164522	8.822826273	8.437074492	8.178707009
IgAN	6.424249585	7.790644214	6.396129465	8.229740928	7.775344393	5.587186868	6.505494573	7.947271763	7.91537993	7.473535112
IgAN	9.29911746	8.320002709	8.561201919	10.54511104	8.504735059	9.07735656	9.012935881	7.675839599	7.866104982	7.028239435
IgAN	6.891669457	7.73020518	5.958605812	8.925884799	9.222922339	6.857694214	6.843082597	8.637924511	8.078022186	7.59764745
IgAN	7.157479093	8.197321559	7.142411788	10.25320437	8.728285558	6.689774668	7.889929645	9.062644367	8.723071063	7.830498124
IgAN	9.288474302	6.971794122	5.840254385	9.134554117	10.49566892	9.479860204	7.400516584	8.409226267	7.949637574	7.379331624
IgAN	6.797109667	8.466940855	8.649835404	9.8084236	9.289629273	6.512064089	7.023245328	9.224603294	8.748623436	7.888126207
IgAN	6.945245369	10.45870412	6.722897302	8.354073491	6.54774634	6.140020448	6.443145227	9.943599303	8.662865652	8.748805454
IgAN	7.983414839	7.97089836	8.046631917	11.04037556	7.53248156	7.426874914	8.51685268	7.238130861	7.35459183	6.331158375
IgAN	6.850497954	7.769889576	6.405987766	9.401952653	8.858706381	6.328107486	7.161013262	8.980766329	8.305850727	7.459295542
IgAN	6.017644305	7.296417256	4.372057866	5.941177779	7.770173303	6.406957384	6.028419666	10.36003655	9.817884542	9.51995464
IgAN	6.542940324	8.212604671	5.995524042	7.218686619	7.264584694	6.559258511	6.262650831	8.952551114	8.739394268	8.421022866
IgAN	6.743396063	7.698048674	5.271514971	8.533193186	7.321091913	6.267481875	6.78112673	7.945492588	7.713710035	6.965070545
IgAN	5.858069554	8.509168457	4.517162874	6.522355306	7.756103933	5.445902475	6.039365781	11.2317755	8.372039775	9.790385968
IgAN	8.203993321	9.611303686	4.242679062	5.873028927	6.96870054	6.754119911	7.101096123	8.967796541	9.108296291	8.675701324
